symbol;datetime;open;high;low;close;volume;symbol_id
ETHUSDT;20/08/21 18:45;3234;3243.81;3231.26;3236.28;18201.352;334
ETHUSDT;20/08/21 19:00;3236.27;3244.73;3236.27;3241.31;14635.682;334
ETHUSDT;20/08/21 19:15;3241.32;3259.36;3239.58;3251.27;20910.623;334
ETHUSDT;20/08/21 19:30;3251.27;3258.76;3245.07;3254.59;13675.385;334
ETHUSDT;20/08/21 19:45;3254.59;3258;3248.74;3253.43;9192.181;334
ETHUSDT;20/08/21 20:00;3253.42;3269.56;3245.39;3268.85;13267.014;334
ETHUSDT;20/08/21 20:15;3268.85;3278;3263.02;3273.61;18127.613;334
ETHUSDT;20/08/21 20:30;3273.61;3275.63;3263.45;3266.13;9379.389;334
ETHUSDT;20/08/21 20:45;3266.14;3272.34;3258.85;3259.41;11194.546;334
ETHUSDT;20/08/21 21:00;3259.42;3268.79;3259.29;3263.69;5630.784;334
ETHUSDT;20/08/21 21:15;3263.69;3272.67;3262.07;3271.9;7540.543;334
ETHUSDT;20/08/21 21:30;3271.91;3276.55;3268.8;3276.08;6160.617;334
ETHUSDT;20/08/21 21:45;3276.08;3298.45;3275;3293.24;27045.701;334
ETHUSDT;20/08/21 22:00;3293.42;3295;3270.52;3284.04;25296.193;334
ETHUSDT;20/08/21 22:15;3284.04;3284.12;3261.81;3269.98;18537.078;334
ETHUSDT;20/08/21 22:30;3269.8;3272.54;3252.5;3253.33;15096.482;334
ETHUSDT;20/08/21 22:45;3253.33;3265.43;3248.22;3262.57;17101.41;334
ETHUSDT;20/08/21 23:00;3262.57;3270.36;3257.6;3269.76;11868.475;334
ETHUSDT;20/08/21 23:15;3269.76;3282.28;3268.25;3273.54;15187.661;334
ETHUSDT;20/08/21 23:30;3273.59;3283.83;3268.54;3281.61;10055.507;334
ETHUSDT;20/08/21 23:45;3281.6;3289.19;3263.72;3286.62;20719.328;334
ETHUSDT;21/08/21 0:00;3286.65;3288.2;3257;3263.05;30079.723;334
ETHUSDT;21/08/21 0:15;3263.05;3270.5;3243.25;3244.49;20072.258;334
ETHUSDT;21/08/21 0:30;3244.5;3256;3235.7;3251.08;24849.701;334
ETHUSDT;21/08/21 0:45;3251.08;3260;3242.95;3243.37;12659.216;334
ETHUSDT;21/08/21 1:00;3243.37;3251.7;3237.1;3249.23;14575.681;334
ETHUSDT;21/08/21 1:15;3249.27;3258.3;3242.33;3243.33;11363.929;334
ETHUSDT;21/08/21 1:30;3243.34;3257.99;3243.34;3254.49;9786.971;334
ETHUSDT;21/08/21 1:45;3254.5;3272.22;3253.34;3266.63;14939.724;334
ETHUSDT;21/08/21 2:00;3266.62;3272.17;3260.03;3268.49;10775.453;334
ETHUSDT;21/08/21 2:15;3268.5;3284.81;3268.41;3281.13;19402.656;334
ETHUSDT;21/08/21 2:30;3281.21;3284.82;3272.91;3274.89;15947.667;334
ETHUSDT;21/08/21 2:45;3274.9;3276.45;3262.52;3264.68;14434.191;334
ETHUSDT;21/08/21 3:00;3264.68;3267.72;3253.04;3260.31;15786.101;334
ETHUSDT;21/08/21 3:15;3260.31;3269;3256.62;3266.41;9817.856;334
